system   D            wsystem.c:583  maybe_parent_dir                 [   0.01107] Also searching F:\Carpeta de clase MASTER\Apuntes\paralelo\Practica Adrian Guillen\Problema N-cuerpos\campos\
display  D   display_settings.c:191  debug_display_settings           [   0.04063] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04064] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04065] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04066] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04066] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04067] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04068] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04069] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04070] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04071] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04072] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04073] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04074] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04075] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04075] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04076] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1645 d3d_create_display_internals     [   0.04078] Trying format 0.
d3d      I         d3d_disp.cpp:1326 d3d_display_thread_proc          [   0.04103] Chose a display format: 23
d3d      I         d3d_disp.cpp:1395 d3d_display_thread_proc          [   0.04105] Normal window.
d3d      I         d3d_disp.cpp:801  d3d_create_device                [   0.05033] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:866  d3d_create_device                [   0.05777] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:874  d3d_create_device                [   0.05780] Success
d3d      D         d3d_disp.cpp:1668 d3d_create_display_internals     [   0.05781] Resumed after wait.
d3d      I         d3d_disp.cpp:1701 d3d_create_display_internals     [   0.05784] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1724 d3d_create_display_internals     [   0.05786] Returning d3d_display: 0070AF10
d3d      D         d3d_disp.cpp:1749 d3d_create_display_locked        [   0.05787] al_display=0070AF10
d3d      D         d3d_disp.cpp:1750 d3d_create_display_locked        [   0.05787] al_display->vt=0070AE58
d3d      I         d3d_disp.cpp:921  d3d_destroy_display              [   8.66138] destroying display 0070AF10 (current 00000000)
d3d      D         d3d_disp.cpp:905  d3d_destroy_display_internals    [   8.66148] waiting for display 0070AF10's thread to end
d3d      W         d3d_disp.cpp:617  d3d_destroy_device               [   8.66367] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1527 d3d_display_thread_proc          [   8.66659] d3d display thread exits
