system   D            wsystem.c:583  maybe_parent_dir                 [   0.01380] Also searching E:\Carpeta de clase MASTER\Apuntes\projects\campos\
display  D   display_settings.c:191  debug_display_settings           [   0.09554] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09555] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09556] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09557] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09558] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09559] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09560] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09561] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09562] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09563] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09563] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09564] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09565] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09566] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09567] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09568] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09569] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09570] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09571] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09572] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09572] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09573] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09574] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09575] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1645 d3d_create_display_internals     [   0.09577] Trying format 0.
